year,month,day,latitude,longitude,target_type
1972,3,20,54.597269,-5.930109,Private Citizens & Property
1972,3,20,54.99451,-7.3199960000000015,Military
1972,3,23,54.597269,-5.930109,Military
1972,3,25,54.597269,-5.930109,Terrorists/Non-State Militia
1972,3,26,54.597269,-5.930109,Terrorists/Non-State Militia
1972,3,28,55.04361700000001,-7.0239270000000005,Police
1972,3,29,54.597269,-5.930109,Military
1972,3,30,54.597269,-5.930109,Military
1972,4,7,54.597269,-5.930109,Military
1972,4,10,55.007206999999994,-7.341944,Military
1972,4,13,55.07071800000001,-6.514895,Private Citizens & Property
1972,4,15,54.597269,-5.930109,Military
1972,4,15,54.597269,-5.930109,Private Citizens & Property
1972,4,16,54.99451,-7.3199960000000015,Military
1972,4,16,54.99451,-7.3199960000000015,Military
1972,4,19,54.192933999999994,-6.576051,Military
1972,4,19,54.597269,-5.930109,Private Citizens & Property
1972,4,20,54.597269,-5.930109,Private Citizens & Property
1972,4,21,54.597269,-5.930109,Military
1972,4,29,54.597269,-5.930109,Military
1972,5,1,54.713641,-5.808233,Business
1972,5,4,54.597269,-5.930109,Private Citizens & Property
1972,5,11,54.597269,-5.930109,Military
1972,5,13,54.597269,-5.930109,Private Citizens & Property
1972,5,13,54.597269,-5.930109,Private Citizens & Property
1972,5,13,54.597269,-5.930109,Military
1972,5,13,54.597269,-5.930109,Private Citizens & Property
1972,5,14,54.597269,-5.930109,Private Citizens & Property
1972,5,14,54.597269,-5.930109,Private Citizens & Property
1972,5,15,54.597269,-5.930109,Military
1972,5,17,54.692119999999996,-5.863265,Private Citizens & Property
1972,5,17,54.077313000000004,-6.6087869999999995,Military
1972,5,19,54.597269,-5.930109,Private Citizens & Property
1972,5,20,54.78771500000001,-6.492314,Military
1972,5,21,54.99451,-7.3199960000000015,Military
1972,5,21,54.597269,-5.930109,Private Citizens & Property
1972,5,22,54.78771500000001,-6.492314,Police
1972,5,23,54.597269,-5.930109,Military
1972,5,23,54.560124,-5.983657,Private Citizens & Property
1972,5,26,54.597269,-5.930109,Private Citizens & Property
1972,5,27,54.597269,-5.930109,Police
1972,5,28,54.597269,-5.930109,Private Citizens & Property
1972,5,28,54.597269,-5.930109,Terrorists/Non-State Militia
1972,5,28,54.597269,-5.930109,Private Citizens & Property
1972,5,30,54.597269,-5.930109,Military
1972,5,30,54.597269,-5.930109,Military
1972,6,2,54.23863100000001,-7.170908,Military
1972,6,4,54.597269,-5.930109,Private Citizens & Property
1972,6,5,54.99451,-7.3199960000000015,Military
1972,6,6,54.597269,-5.930109,Military
1972,6,6,54.597269,-5.930109,Military
1972,6,8,54.597269,-5.930109,Private Citizens & Property
1972,6,8,54.78771500000001,-6.492314,Police
1972,6,9,54.597269,-5.930109,Military
1972,6,10,54.597269,-5.930109,Private Citizens & Property
1972,6,11,54.597269,-5.930109,Private Citizens & Property
1972,6,11,54.99451,-7.3199960000000015,Military
1972,6,12,54.597269,-5.930109,Military
1972,6,16,54.597269,-5.930109,Private Citizens & Property
1972,6,18,54.44811800000001,-6.387579,Military
1972,6,19,54.597269,-5.930109,Terrorists/Non-State Militia
1972,6,19,54.597269,-5.930109,Military
1972,6,21,54.99451,-7.3199960000000015,Military
1972,6,23,54.597269,-5.930109,Private Citizens & Property
1972,6,24,54.927953,-6.9258729999999975,Military
1972,6,24,54.597269,-5.930109,Terrorists/Non-State Militia
1972,6,26,54.18006,-6.3339300000000005,Police
1972,6,26,54.99451,-7.3199960000000015,Military
1972,6,26,54.597269,-5.930109,Military
1972,6,27,54.597269,-5.930109,Private Citizens & Property
1972,6,27,54.597269,-5.930109,Private Citizens & Property
1972,7,1,54.597269,-5.930109,Private Citizens & Property
